Serial No.,Chance of Admit 
207,0.63
14,0.62
119,0.47
243,0.7
236,0.88
292,0.56
2,0.76
395,0.89
320,0.8
271,0.72
72,0.96
313,0.78
228,0.64
300,0.71
195,0.77
184,0.75
105,0.74
328,0.69
374,0.79
265,0.75
206,0.57
339,0.81
353,0.64
74,0.84
117,0.56
322,0.73
368,0.57
179,0.72
248,0.71
144,0.97
28,0.44
40,0.48
103,0.62
225,0.67
311,0.76
201,0.73
31,0.65
210,0.68
262,0.71
258,0.78
388,0.53
170,0.65
383,0.82
281,0.68
141,0.84
276,0.78
81,0.5
166,0.78
87,0.72
69,0.68
142,0.9
289,0.82
220,0.74
278,0.7
183,0.68
78,0.64
96,0.42
27,0.76
169,0.64
354,0.63
168,0.64
118,0.45
43,0.53
132,0.77
222,0.75
244,0.76
172,0.89
295,0.61
352,0.73
331,0.8
160,0.52
147,0.75
58,0.46
232,0.74
149,0.96
255,0.85
304,0.73
70,0.78
73,0.93
66,0.55
237,0.85
68,0.57
112,0.69
18,0.65
116,0.66
153,0.86
259,0.77
21,0.64
234,0.64
48,0.89
75,0.74
261,0.87
377,0.34
229,0.71
4,0.8
157,0.7
400,0.95
254,0.93
3,0.72
104,0.57
387,0.46
213,0.95
156,0.77
114,0.72
90,0.74
342,0.79
301,0.62
71,0.94
199,0.7
358,0.68
253,0.71
397,0.84
89,0.64
57,0.64
124,0.61
11,0.52
343,0.58
238,0.86
83,0.92
215,0.94
293,0.56
177,0.9
35,0.94
216,0.93
37,0.64
285,0.94
39,0.52
106,0.69
146,0.81
52,0.56
263,0.7
398,0.91
61,0.48
7,0.75
9,0.5
347,0.47
126,0.64
202,0.72
192,0.87
36,0.88
375,0.39
312,0.84
308,0.8
336,0.83
291,0.58
223,0.76
269,0.83
95,0.36
282,0.8
123,0.57
125,0.57
180,0.73
319,0.79
399,0.67
348,0.42
316,0.65
370,0.67
314,0.67
307,0.79
372,0.89
198,0.73
287,0.92
384,0.62
378,0.47
332,0.73
275,0.58
187,0.84
159,0.61
315,0.66
197,0.73
260,0.9
86,0.76
267,0.72
191,0.9
79,0.44
150,0.79
296,0.68
367,0.74
256,0.79
32,0.74
209,0.64
6,0.9
274,0.52
330,0.43
17,0.66
1,0.92
288,0.89
211,0.79
93,0.34
171,0.68
303,0.65
30,0.54
230,0.82
100,0.79
327,0.63
333,0.75
391,0.64
143,0.92
371,0.72
15,0.61
85,0.94
67,0.61
305,0.62
108,0.91
283,0.81
340,0.81
130,0.92
84,0.92
135,0.89
56,0.64
99,0.9
349,0.57
337,0.72
88,0.66
185,0.72
251,0.74
45,0.91
196,0.78
46,0.88
111,0.61
376,0.38
205,0.69
131,0.96
188,0.93
51,0.76
396,0.82
20,0.62
323,0.72
164,0.68
217,0.91
341,0.75
392,0.71
373,0.95
325,0.67
390,0.76
363,0.91
139,0.8
226,0.61
233,0.69
239,0.7
120,0.71
369,0.51
133,0.71
161,0.57
63,0.54
110,0.68
218,0.85
264,0.7
155,0.8
231,0.73
360,0.81
138,0.71
29,0.46
176,0.85
24,0.95
158,0.65
162,0.53
227,0.63
246,0.81
250,0.77
65,0.52
379,0.56
318,0.58
389,0.49
175,0.87
122,0.94
321,0.75
47,0.86
204,0.97
62,0.47
22,0.7
38,0.58
280,0.67
64,0.56
366,0.86
193,0.86
54,0.72
299,0.9
53,0.78
334,0.71
270,0.77
97,0.48
77,0.74
91,0.64
242,0.65
302,0.66
13,0.78
212,0.82
245,0.63
214,0.96
344,0.59
82,0.96
152,0.94
16,0.54
98,0.86
140,0.78
273,0.49
350,0.62
329,0.8
167,0.65
385,0.96
49,0.82
351,0.74
127,0.85
148,0.83
12,0.84
284,0.8
290,0.79
298,0.86
310,0.7
145,0.8
25,0.97
19,0.63
345,0.47
241,0.6
178,0.82
113,0.62
174,0.89
221,0.76
382,0.73
