id,type,reactions,comments,shares,likes,loves,wows,hahas,sads,angrys
1,video,529,512,262,432,92,3,1,1,0
2,photo,150,0,0,150,0,0,0,0,0
3,video,227,236,57,204,21,1,1,0,0
4,photo,111,0,0,111,0,0,0,0,0
5,photo,213,0,0,204,9,0,0,0,0
6,photo,217,6,0,211,5,1,0,0,0
7,video,503,614,72,418,70,10,2,0,3
8,video,295,453,53,260,32,1,1,0,1
9,photo,203,1,0,198,5,0,0,0,0
10,photo,170,9,1,167,3,0,0,0,0
11,photo,210,2,3,202,7,1,0,0,0
12,photo,222,4,0,213,5,4,0,0,0
13,photo,313,4,2,305,6,2,0,0,0
14,photo,209,4,0,200,8,1,0,0,0
15,photo,346,11,0,335,10,1,0,0,0
16,video,332,100,30,303,23,1,5,0,0
17,video,135,256,79,117,18,0,0,0,0
18,video,150,173,47,132,16,1,0,1,0
19,video,221,166,36,192,28,0,1,0,0
20,photo,152,2,0,149,3,0,0,0,0
21,photo,234,15,1,221,12,1,0,0,0
22,photo,227,7,1,217,7,2,1,0,0
23,photo,98,0,0,96,0,2,0,0,0
24,video,18,0,0,18,0,0,0,0,0
25,photo,102,0,0,100,0,2,0,0,0
26,video,37,0,1,37,0,0,0,0,0
27,video,75,36,14,70,5,0,0,0,0
28,video,90,78,9,85,5,0,0,0,0
29,photo,145,9,0,138,7,0,0,0,0
30,video,253,300,31,229,22,1,1,0,0
31,photo,85,0,0,81,2,2,0,0,0
32,video,45,14,0,40,5,0,0,0,0
33,photo,92,0,0,85,4,2,1,0,0
34,photo,125,1,0,116,8,1,0,0,0
35,photo,119,4,0,116,3,0,0,0,0
36,photo,293,8,0,281,11,1,0,0,0
37,video,128,137,26,110,16,2,0,0,0
38,photo,84,15,13,78,5,1,0,0,0
39,photo,66,11,6,61,4,1,0,0,0
40,video,171,292,28,150,19,1,1,0,0
41,video,90,72,23,79,10,1,0,0,0
42,video,139,39,9,121,16,1,1,0,0
43,video,236,181,21,201,33,0,1,0,1
44,video,225,210,34,193,30,0,2,0,0
45,photo,275,12,0,260,11,4,0,0,0
46,video,372,456,37,334,31,1,1,1,4
47,photo,445,9,0,419,23,3,0,0,0
48,video,128,60,11,114,13,0,0,0,1
49,video,186,235,46,163,19,0,3,0,1
50,video,309,444,36,254,42,2,8,3,0
51,photo,77,11,3,75,2,0,0,0,0
52,video,119,72,28,103,16,0,0,0,0
53,photo,100,21,13,95,5,0,0,0,0
54,video,240,255,111,193,44,1,1,0,1
55,video,164,136,48,146,15,2,0,1,0
56,video,202,327,42,171,30,1,0,0,0
57,video,211,284,46,186,25,0,0,0,0
58,video,148,114,16,136,10,0,2,0,0
59,video,97,81,16,84,13,0,0,0,0
60,video,279,292,34,254,20,3,1,1,0
61,photo,263,8,0,245,14,4,0,0,0
62,video,177,193,34,151,25,1,0,0,0
63,photo,517,32,1,484,26,7,0,0,0
64,video,289,258,33,256,33,0,0,0,0
65,photo,66,13,0,65,1,0,0,0,0
66,photo,112,6,0,104,8,0,0,0,0
67,video,206,259,48,181,22,1,2,0,0
68,video,362,468,86,305,56,0,0,1,0
69,video,184,130,51,161,23,0,0,0,0
70,video,216,251,34,199,16,0,0,0,1
71,video,57,0,0,56,1,0,0,0,0
72,video,272,258,43,226,44,1,1,0,0
73,video,248,247,34,208,33,3,2,0,2
74,video,132,89,40,110,20,1,0,0,1
75,video,226,341,41,196,30,0,0,0,0
76,video,35,1,0,35,0,0,0,0,0
77,video,219,316,36,170,46,3,0,0,0
78,video,94,1,1,94,0,0,0,0,0
79,video,259,368,50,234,25,0,0,0,0
80,video,62,1,0,62,0,0,0,0,0
81,video,127,76,21,114,13,0,0,0,0
82,video,149,63,15,134,15,0,0,0,0
83,video,134,171,41,116,18,0,0,0,0
84,video,392,461,47,360,32,0,0,0,0
85,video,310,540,41,284,26,0,0,0,0
86,photo,14,3,0,12,2,0,0,0,0
87,photo,293,6,1,275,15,3,0,0,0
88,photo,236,12,0,226,8,1,1,0,0
89,photo,312,10,0,291,18,3,0,0,0
90,photo,24,12,0,24,0,0,0,0,0
91,link,16,9,0,15,1,0,0,0,0
92,photo,33,12,0,32,1,0,0,0,0
93,photo,675,10,0,645,29,1,0,0,0
94,photo,737,18,0,697,31,9,0,0,0
95,photo,572,16,0,554,16,2,0,0,0
96,photo,23,7,0,20,3,0,0,0,0
97,photo,266,25,0,250,11,5,0,0,0
98,video,378,512,30,348,27,2,0,0,1
99,video,421,709,30,373,45,2,0,1,0
100,video,1493,1979,753,1333,139,9,3,8,1
101,photo,76,17,0,76,0,0,0,0,0
102,photo,36,11,0,34,2,0,0,0,0
103,photo,19,8,0,18,0,0,1,0,0
