Date,Sales,PV,UV,Events
2022-01-01,22711525,397349,4421,1
2022-01-02,36779,3969,2289,0
2022-01-03,13943875,373890,,1
2022-01-04,8088593,142054,2157,0
2022-01-05,2395374,190684,,0
2022-01-06,1709350,177815,5340,1
2022-01-07,5306457,155749,3789,0
2022-01-08,1052325,53467,1793,0
2022-01-09,877848,54805,2110,0
2022-01-10,9112911,94024,2471,0
2022-01-11,1308947,14335,179,0
2022-01-12,4666022,49787,747,0
2022-01-13,1242565,22729,615,0
2022-01-14,95788,1219,,0
2022-01-15,1632974,50881,4526,0
2022-01-16,2695312,50798,806,0
2022-01-17,2344863,45878,1098,0
2022-01-18,665685,14700,,0
2022-01-19,588860,34774,420,0
2022-01-20,1418778,20169,1726,0
2022-01-21,4923290,61839,1918,0
2022-01-22,11732856,349679,4196,1
2022-01-23,206419,11594,483,0
2022-01-24,167055,6237,153,0
2022-01-25,24239428,294608,,1
2022-01-26,200734,19280,398,0
2022-01-27,1458067,54180,1920,0
2022-01-28,117887,3380,,0
2022-01-29,15322,55490,4043,0
2022-01-30,2679959,127639,1294,0
2022-01-31,1706806,146959,1474,0
2022-02-01,1113665,31924,335,0
2022-02-02,535210,25203,1865,0
2022-02-03,1448913,78606,3863,0
2022-02-04,20175485,212933,6696,1
2022-02-05,4943026,72786,1272,0
2022-02-06,6402055,81750,2552,0
2022-02-07,893344,18932,4677,0
2022-02-08,13963955,210037,5845,1
2022-02-09,349151,16328,192,0
2022-02-10,21825015,360005,6352,1
2022-02-11,3185827,120054,1289,0
2022-02-12,4473612,98724,5173,1
2022-02-13,22724847,260251,,1
2022-02-14,302067,3617,64,0
2022-02-15,304488,3576,,0
2022-02-16,7873776,167352,3069,0
2022-02-17,19370591,297162,4682,1
2022-02-18,220346,9374,435,0
2022-02-19,596280,148393,1487,0
2022-02-20,59645,3640,419,0
2022-02-21,26328014,366122,4244,1
2022-02-22,2586169,75412,3853,0
2022-02-23,9272337,171864,2156,0
